architecture,dim,batch_size,strategy,device,compiled,peakmem non-differentiable [GiB],peakmem [GiB],mean [s],std [s],best [s]
tanh_mlp_768_768_512_512_1,5,1,hessian_trace,cuda,False,0.03228902816772461,0.03673362731933594,0.043310173999052494,0.002784974878339196,0.04076329997042194
tanh_mlp_768_768_512_512_1,5,1,jet_naive,cuda,False,0.018489360809326172,0.026357650756835938,0.015199814001680351,0.002703869784090545,0.012450200010789558
tanh_mlp_768_768_512_512_1,5,1,jet_simplified,cuda,False,0.018399715423583984,0.023048877716064453,0.00937080400530249,0.00011068872607833318,0.009181300003547221
tanh_mlp_768_768_512_512_1,5,1,multijet_naive,cuda,False,0.02016162872314453,0.030938148498535156,0.0074025519983842965,0.0008178759802403595,0.006515100016258657
tanh_mlp_768_768_512_512_1,5,1,multijet_simplified,cuda,False,0.020024776458740234,0.02700948715209961,0.00917976000229828,0.002800661608067403,0.007170400000177324
tanh_mlp_768_768_512_512_1,5,57,hessian_trace,cuda,False,0.22623062133789062,0.47375059127807617,0.1746244160050992,0.0014637112536849723,0.17224440001882613
tanh_mlp_768_768_512_512_1,5,57,jet_naive,cuda,False,0.08692407608032227,0.5371646881103516,0.2194780899991747,0.0015657679878010994,0.21785950000048615
tanh_mlp_768_768_512_512_1,5,57,jet_simplified,cuda,False,0.0811309814453125,0.34850645065307617,0.100212772001978,0.0007503726670350731,0.0988192000077106
tanh_mlp_768_768_512_512_1,5,57,multijet_naive,cuda,False,0.1822977066040039,0.7971715927124023,0.17845940200029872,0.0006513738985258628,0.1771545999799855
tanh_mlp_768_768_512_512_1,5,57,multijet_simplified,cuda,False,0.17447233200073242,0.5732131004333496,0.154966635996243,0.0005107064663376791,0.15359020000323653
tanh_mlp_768_768_512_512_1,5,114,hessian_trace,cuda,False,0.4217529296875,0.9188098907470703,0.32033490400295705,0.000981670297463492,0.31890650000423193
tanh_mlp_768_768_512_512_1,5,114,jet_naive,cuda,False,0.16158580780029297,1.0757036209106445,0.43468529600126204,0.0009910031994097967,0.43294590001460165
tanh_mlp_768_768_512_512_1,5,114,jet_simplified,cuda,False,0.14937257766723633,0.6908783912658691,0.18844137399457395,0.0006634571031649697,0.18739769997773692
tanh_mlp_768_768_512_512_1,5,114,multijet_naive,cuda,False,0.34732627868652344,1.620945930480957,0.3278030760004185,0.0014531128118386329,0.3248511999845505
tanh_mlp_768_768_512_512_1,5,114,multijet_simplified,cuda,False,0.33167505264282227,1.156938076019287,0.2826129639975261,0.001337853128144889,0.2779984000371769
tanh_mlp_768_768_512_512_1,5,171,hessian_trace,cuda,False,0.6294851303100586,1.3756194114685059,0.49262919200002214,0.001878908277220588,0.4891928000142798
tanh_mlp_768_768_512_512_1,5,171,jet_naive,cuda,False,0.22623777389526367,1.5894274711608887,0.6591534340032377,0.0012666368452395134,0.6555775000015274
tanh_mlp_768_768_512_512_1,5,171,jet_simplified,cuda,False,0.20979595184326172,1.0384645462036133,0.27664673199760725,0.0013758179362599087,0.27522819995647296
tanh_mlp_768_768_512_512_1,5,171,multijet_naive,cuda,False,0.5312952995300293,2.409707546234131,0.49743042400688864,0.003007983268300108,0.4904411999741569
tanh_mlp_768_768_512_512_1,5,171,multijet_simplified,cuda,False,0.5065274238586426,1.7238984107971191,0.43055917200050314,0.003315349691724063,0.42376950004836544
tanh_mlp_768_768_512_512_1,5,228,hessian_trace,cuda,False,0.8251128196716309,1.8061728477478027,0.6588819340057671,0.004699374446364367,0.652436200005468
tanh_mlp_768_768_512_512_1,5,228,jet_naive,cuda,False,0.2958950996398926,2.1097254753112793,0.8904936540022027,0.0017279670856065613,0.8878246999811381
tanh_mlp_768_768_512_512_1,5,228,jet_simplified,cuda,False,0.2727189064025879,1.3501296043395996,0.3696029060019646,0.0007786072779391438,0.36832090001553297
tanh_mlp_768_768_512_512_1,5,228,multijet_naive,cuda,False,0.6891360282897949,3.168344020843506,0.6690652140032034,0.004488713718271042,0.6572945000370964
tanh_mlp_768_768_512_512_1,5,228,multijet_simplified,cuda,False,0.6572461128234863,2.2636971473693848,0.575093214000808,0.0034540021692410524,0.5651396000175737
tanh_mlp_768_768_512_512_1,5,284,hessian_trace,cuda,False,1.0146350860595703,2.233119487762451,0.807827771997545,0.003150434339601009,0.801296400022693
tanh_mlp_768_768_512_512_1,5,284,jet_naive,cuda,False,0.3732481002807617,2.646181106567383,1.1069975160004106,0.0021923722984840705,1.1029390000039712
