architecture,dim,batch_size,strategy,device,compiled,peakmem non-differentiable [GiB],peakmem [GiB],mean [s],std [s],best [s]
tanh_mlp_768_768_512_512_1,5,1,hessian_trace,cuda,False,0.03228902816772461,0.03673362731933594,0.043310173999052494,0.002784974878339196,0.04076329997042194
tanh_mlp_768_768_512_512_1,5,1,jet_naive,cuda,False,0.018489360809326172,0.026357650756835938,0.008839572003344074,0.0002099620237936285,0.008558200031984597
tanh_mlp_768_768_512_512_1,5,1,jet_simplified,cuda,False,0.018399715423583984,0.023048877716064453,0.00937080400530249,0.00011068872607833318,0.009181300003547221
tanh_mlp_768_768_512_512_1,5,1,multijet_sym_naive,cuda,False,0.018468379974365234,0.024146556854248047,0.009295732001774012,0.0003400886069798851,0.008914500009268522
tanh_mlp_768_768_512_512_1,5,1,multijet_sym_simplified,cuda,False,0.0184173583984375,0.022348403930664062,0.012197475994471461,0.0041356606983947875,0.009621899982448667
tanh_mlp_768_768_512_512_1,5,57,hessian_trace,cuda,False,0.22623062133789062,0.47375059127807617,0.1746244160050992,0.0014637112536849723,0.17224440001882613
tanh_mlp_768_768_512_512_1,5,57,jet_naive,cuda,False,0.08692407608032227,0.5371646881103516,0.12721819400088863,0.0006522653610729994,0.12623049999820068
tanh_mlp_768_768_512_512_1,5,57,jet_simplified,cuda,False,0.0811309814453125,0.34850645065307617,0.100212772001978,0.0007503726670350731,0.0988192000077106
tanh_mlp_768_768_512_512_1,5,57,multijet_sym_naive,cuda,False,0.08570528030395508,0.4111146926879883,0.08814038399723359,0.0006499966616429951,0.08733559999382123
tanh_mlp_768_768_512_512_1,5,57,multijet_sym_simplified,cuda,False,0.08277225494384766,0.3085951805114746,0.07755195799982176,0.0006199788107050923,0.07650750002358109
tanh_mlp_768_768_512_512_1,5,114,hessian_trace,cuda,False,0.4217529296875,0.9188098907470703,0.32033490400295705,0.000981670297463492,0.31890650000423193
tanh_mlp_768_768_512_512_1,5,114,jet_naive,cuda,False,0.16158580780029297,1.0757036209106445,0.24352409200393596,0.0006444545017992205,0.2422080000396818
tanh_mlp_768_768_512_512_1,5,114,jet_simplified,cuda,False,0.14937257766723633,0.6908783912658691,0.18844137399457395,0.0006634571031649697,0.18739769997773692
tanh_mlp_768_768_512_512_1,5,114,multijet_sym_naive,cuda,False,0.1541433334350586,0.8017077445983887,0.1776286599994637,0.0006693296310622513,0.17646580003201962
tanh_mlp_768_768_512_512_1,5,114,multijet_sym_simplified,cuda,False,0.14827680587768555,0.5966682434082031,0.15422787600080481,0.000611080259571983,0.1532166000106372
tanh_mlp_768_768_512_512_1,5,171,hessian_trace,cuda,False,0.6294851303100586,1.3756194114685059,0.49262919200002214,0.001878908277220588,0.4891928000142798
tanh_mlp_768_768_512_512_1,5,171,jet_naive,cuda,False,0.22623777389526367,1.5894274711608887,0.35801025400869546,0.0007725133066197575,0.35646270000142977
tanh_mlp_768_768_512_512_1,5,171,jet_simplified,cuda,False,0.20979595184326172,1.0384645462036133,0.27664673199760725,0.0013758179362599087,0.27522819995647296
tanh_mlp_768_768_512_512_1,5,171,multijet_sym_naive,cuda,False,0.22351932525634766,1.200758457183838,0.25511541600106286,0.000778527166752351,0.25322549999691546
tanh_mlp_768_768_512_512_1,5,171,multijet_sym_simplified,cuda,False,0.21377944946289062,0.9113554954528809,0.22010899599641562,0.0006579761575433522,0.21900699997786433
tanh_mlp_768_768_512_512_1,5,228,hessian_trace,cuda,False,0.8251128196716309,1.8061728477478027,0.6588819340057671,0.004699374446364367,0.652436200005468
tanh_mlp_768_768_512_512_1,5,228,jet_naive,cuda,False,0.2958950996398926,2.1097254753112793,0.47931864599930124,0.0016147299458508177,0.47637679998297244
tanh_mlp_768_768_512_512_1,5,228,jet_simplified,cuda,False,0.2727189064025879,1.3501296043395996,0.3696029060019646,0.0007786072779391438,0.36832090001553297
tanh_mlp_768_768_512_512_1,5,228,multijet_sym_naive,cuda,False,0.3004026412963867,1.630274772644043,0.3452954719949048,0.001579009167738484,0.34190709999529645
tanh_mlp_768_768_512_512_1,5,228,multijet_sym_simplified,cuda,False,0.2880439758300781,1.2122993469238281,0.3001155720010866,0.0007127134683984147,0.2987602000357583
tanh_mlp_768_768_512_512_1,5,284,hessian_trace,cuda,False,1.0146350860595703,2.233119487762451,0.807827771997545,0.003150434339601009,0.801296400022693
tanh_mlp_768_768_512_512_1,5,284,jet_naive,cuda,False,0.3732481002807617,2.646181106567383,0.5873492419952526,0.0013698616789100807,0.583723200019449
tanh_mlp_768_768_512_512_1,5,284,jet_simplified,cuda,False,0.3435850143432617,1.699045181274414,0.45176714000757784,0.0007421829359273732,0.45005919999675825
tanh_mlp_768_768_512_512_1,5,284,multijet_sym_naive,cuda,False,0.3590378761291504,2.0222740173339844,0.42080569800222295,0.0018333913110568708,0.41457329998956993
tanh_mlp_768_768_512_512_1,5,284,multijet_sym_simplified,cuda,False,0.34601783752441406,1.5009684562683105,0.36165467399987394,0.001261298671202822,0.35795600002165884
tanh_mlp_768_768_512_512_1,5,341,hessian_trace,cuda,False,1.2045273780822754,2.6694655418395996,0.9505698940064758,0.0027117476185954236,0.943201299989596
tanh_mlp_768_768_512_512_1,5,341,jet_naive,cuda,False,0.4354248046875,3.1363162994384766,0.7038692900002934,0.0028062339339233397,0.6980677000246942
tanh_mlp_768_768_512_512_1,5,341,jet_simplified,cuda,False,0.4020237922668457,1.9987835884094238,0.5397859559976496,0.0011437667006842954,0.537258299998939
