architecture,dim,batch_size,strategy,device,compiled,peakmem non-differentiable [GiB],peakmem [GiB],mean [s],std [s],best [s]
tanh_mlp_768_768_512_512_1,50,1,hessian_trace,cuda,False,0.03114795684814453,0.03300762176513672,0.0055933219997677955,0.00016037264341515236,0.005374599946662784
tanh_mlp_768_768_512_512_1,50,1,jet_naive,cuda,False,0.019120216369628906,0.02286243438720703,0.0035084239940624683,0.0002275308456706423,0.0029525000136345625
tanh_mlp_768_768_512_512_1,50,1,jet_simplified,cuda,False,0.018840312957763672,0.02023458480834961,0.0021222020022105426,0.00010521061867709212,0.0020038000075146556
tanh_mlp_768_768_512_512_1,50,1,multijet_naive,cuda,False,0.019120216369628906,0.02286243438720703,0.0029877059999853374,4.509702383863728e-05,0.002932900039013475
tanh_mlp_768_768_512_512_1,50,1,multijet_simplified,cuda,False,0.018840312957763672,0.02098989486694336,0.0021078859979752453,4.899967959846136e-05,0.002026899950578809
tanh_mlp_768_768_512_512_1,50,114,hessian_trace,cuda,False,0.27535295486450195,0.522972583770752,0.15853415799560025,0.00045842952225678914,0.15721610002219677
tanh_mlp_768_768_512_512_1,50,114,jet_naive,cuda,False,0.15467214584350586,0.632378101348877,0.15186362600070424,0.00012632960117624933,0.15166029997635633
tanh_mlp_768_768_512_512_1,50,114,jet_simplified,cuda,False,0.12151193618774414,0.2875189781188965,0.07859821400139481,0.0001415963806955698,0.07842979999259114
tanh_mlp_768_768_512_512_1,50,114,multijet_naive,cuda,False,0.15467214584350586,0.632378101348877,0.15406218200107105,0.00023948779980943405,0.1536963000544347
tanh_mlp_768_768_512_512_1,50,114,multijet_simplified,cuda,False,0.12216424942016602,0.4165472984313965,0.08132318399962969,0.0002253942318380892,0.08092369994847104
tanh_mlp_768_768_512_512_1,50,228,hessian_trace,cuda,False,0.5188555717468262,1.0089960098266602,0.3196980080055073,0.00027207446735233736,0.31928570003947243
tanh_mlp_768_768_512_512_1,50,228,jet_naive,cuda,False,0.28750038146972656,1.2366886138916016,0.308772626001155,0.000648078878448083,0.3075822999817319
tanh_mlp_768_768_512_512_1,50,228,jet_simplified,cuda,False,0.22235441207885742,0.5540194511413574,0.16006541999871843,0.0003594933968123559,0.15951399999903515
tanh_mlp_768_768_512_512_1,50,228,multijet_naive,cuda,False,0.28750038146972656,1.2366886138916016,0.3136638339981437,0.0006395377126978993,0.31221679999725893
tanh_mlp_768_768_512_512_1,50,228,multijet_simplified,cuda,False,0.22365903854370117,0.8097262382507324,0.16664139600121416,0.0006309878009576671,0.1653647000202909
tanh_mlp_768_768_512_512_1,50,342,hessian_trace,cuda,False,0.7648987770080566,1.5026459693908691,0.48039754800032824,0.0011782691598070394,0.4785101000452414
tanh_mlp_768_768_512_512_1,50,342,jet_naive,cuda,False,0.421297550201416,1.8496613502502441,0.4650456760008819,0.0006792193884777522,0.46331850002752617
tanh_mlp_768_768_512_512_1,50,342,jet_simplified,cuda,False,0.3235783576965332,0.8246731758117676,0.23832356599858032,0.00032579071353364255,0.2378420999739319
tanh_mlp_768_768_512_512_1,50,342,multijet_naive,cuda,False,0.421297550201416,1.8496613502502441,0.47168778800289146,0.0010040986207483884,0.4694574000313878
tanh_mlp_768_768_512_512_1,50,342,multijet_simplified,cuda,False,0.32553529739379883,1.2073864936828613,0.2493052379961591,0.0009457731667309532,0.24740819999715313
tanh_mlp_768_768_512_512_1,50,455,hessian_trace,cuda,False,1.012138843536377,1.9949803352355957,0.637891291991109,0.000849638093554514,0.6356652000104077
tanh_mlp_768_768_512_512_1,50,455,jet_naive,cuda,False,0.5574336051940918,2.4554619789123535,0.6180782840051688,0.0010731569004240413,0.6148496000096202
tanh_mlp_768_768_512_512_1,50,455,jet_simplified,cuda,False,0.4267439842224121,1.0900731086730957,0.3166131300048437,0.0007055244763327736,0.31584950000979006
tanh_mlp_768_768_512_512_1,50,455,multijet_naive,cuda,False,0.5574336051940918,2.4554619789123535,0.6284551839972846,0.0018996271815183371,0.6247807000181638
tanh_mlp_768_768_512_512_1,50,455,multijet_simplified,cuda,False,0.42934751510620117,1.6006779670715332,0.3326596300012898,0.0013501784712093106,0.3297156999469735
tanh_mlp_768_768_512_512_1,50,569,hessian_trace,cuda,False,1.2558670043945312,2.483470916748047,0.800926389999222,0.0034153575240456284,0.7957952999859117
